barnnásis	bárnnásis
tjevllágis	tjevlágis
tjiegñalijt	tjiegŋalijt
tjiegñalis	tjiegŋalis
Tjiegñalis	Tjiegŋalis
tjiegñalissaj	tjiegŋalissaj
tjieg∫alap	tjiegŋalap
tjoahkkev	tjoahkke
tjoavddádallat	tjoavdádallat
tjuodjela	tjuodtjela
Tjuodjánihtit	Tjuodtjánihtit
tjuohkej age	tjuohkejage
tjuoivvolit	tjuovvolit
tjuoldemin	tjuolldemin
tjuolmmatjielgádusá	tjuolmmatjielggidusá
tjuovu	tjuovvu
tjuovudavadnasijn	tjuovuda vadnasijn
tjurgudit	tjuorgudit
tjurgudit	tjuorgudit
tjádjanimsuddárin	tjádjánimsuddárin
tjágñaba	tjágŋaba
tjágñam	tjágŋam
tjágñamin	tjágŋamin
tjágñá	tjágŋá
tjáhjte	tjáhtje
tjáhjte	tjáhtje
tjáhtjelåddi	tjáhtjelådde
tjáña	tjáŋa
tjáñadam	tjáŋadam
tjáñadin	tjáŋadin
tjáñaj	tjáŋaj
tjáñas	tjáŋas
tjåhkadimev	tjåhkanimev
toahkkigoahtám	tjoahkkigoahtám
Tromså	Tråmså
tsujgot	tsuojgot
tsuodta	tsuodtsa
tsábmemin	tsábbmemin
tsäkkohárj ij	tsäkkohárjij
tuojggájiv	tjuojggájiv
ussjuli	ussjolit
vaderi	vaden
vajasta	vaj asta
vaje	vaj e
vajkkut	vájkkut
valldá	válldá
vanas	vanás
varresvuodafáladagájt	varresvuodafálaldagájt
varrevuohtaj	varresvuohtaj
varrogisá	várrogisá
varrudagajt	varrudagájt
vasstadusájt	vásstádusájt
venagijdat	venagijdát
vidjedit	vijdedit
vidjurjijt	vidjurijt
vidnudahka	viddnudahka
vidnudak-åhadusán	viddnudakåhpadusán
vidnudaksuorgen	viddnudaksuorgen
vidálågev	vihttalågev	!sub? vidátjuodev vidáduhádav jes
vidálåktjiluk	vihttalåktjiluk	!sub? jes
viedtjatjit	viettjatjit
viegáj	viegaj
vieitjatjit	viettjatjit
Vieljaja	Vielja ja
vierkajna	vierkajn
vierrigij	vierregij
vierrtiji	vierttiji
viertet	vierdev
viessumuhá	viessomuhá
vihtatuvsánij	vihttatuvsánij
vihtatuvsánij	vihttatuvsánij
vihttatuvsán-vihttatjuodes	vihttatuvsánvihttatjuodes
vijdábut	vijddábut
vijdásåvddånahttemav	vijdesåvddånahttemav
vijdásåvddånahttemin	vijdesåvddånahttemin
vivvasiská	vivvasiska
vuodját	vuoddját
vuodokontekstan	vuodokontevstan
vuodudus	vuododus
vuojnojdisáj	vuojnojdisá
vuojñada	vuojŋada
vuojñadagás	vuojŋadagás
vuojñadahtjá	vuojŋadahtjá
vuojñadalájga	vuojŋadalájga
vuojñadattijn	vuojŋadattijn
vuojñadibmáj	vuojŋadibmáj
vuojñadi	 vuojŋadi
vuojñadit	vuojŋadit
vuojñat	vuojŋat
vuojŋŋanisavuodjeliddjijs	vuojŋŋanisávuodjeliddjijs
vuojŋŋánisá	vuojŋŋanisá
vuojŋŋánisáj	vuojŋŋanisáj
vuordámusá	vuorddámusá
vuorrodit	vuorodit
vuorroduvá	vuoroduvá
vuorrotdájt	vuorot dájt
vuortedahtte	vuordedahtte
vuor∫et	vuorŋŋet
vuosadálle	vuosádalle
vuossteldit	vuosteldit
vuosstemuttjan	vuostamuttjan
vuostasj-	vuostasj
vuostasj-vuosádus	vuostasjvuosádus
vuostasjtjåsskåtjuollusis	vuostasj tjåsskåtjuollusis
vuostedam	vuosteldam
vuostemielav	vuosstemielav
vuotjin	vuohtjin
vuottjin	vuohtjin
vurkudit	vuorkudit
váddá	vaddá
vágostalá	vágustalá
váhkkatjiekkav	váhkkátjiekkav
váhkkojt	váhkkojt
vájkkudamfábmo	vájkkudimfábmo
vájkodime	vájkudime
vájttagårnev	väjttagårnev
válllji	vállji
várdda	várddá
vármmáj	värmmáj
várrerábddaj	várrerabddaj
vásssámájgen	vássámájgen
vástedij	vásstedij
vásámájgge	vássámájgge
vátsij	vádtsij
váttáv	vattáv
vávnájn	vávnajn
värmáj	värmmáj
värrodot	värrodit
våhkkáj	vähkkáj
værmmádahka	værmádahka
væráldáv	væráldav
væráltdoaro-ájge	væráltdoarroájge
Áhtsål	Åhtsål
Ájakjågåtja	Ájajågåtja
Ájllekiehkada	Ájllekiehkeda
Ále	Ale
Álo	Ælo
Ámmátjiehtje	Ámmá-tjiehtje
Ámmáv	Ámmav
ánuj	ánoj
Árjakluoven	Árjepluoven
Ármmom	Ármmum
Árrasj ielan	Árrasjielan
Árrasj ielan	Árrasjielan
Ávddågiesjskåhttåj	Åvddågiesjskåhttåj
Åhpådusåssudahka	Åhpadusåssudahka
Ålosa	Ållusa
Åvtajn	Åvtåjn
ádjágij	ádjagij
ágij	agij
áhpájá	áhpáj
áhtjijniská	áhtjijniska
áhttjásiská	áhttjásiska
áj	aj
ájadus	ájádus
ájádusa	ájádusá
ájggásasjj	ájggásasj
ájttsába	ájttsaba
ájá-dallá	ájádallá
ájádalak	ájádalák
ájnasamos	ájnnasamos
áldara	álldara
almugis	álmmugis
álmmukallaskuvlla	álmmukallaskåvllå
álmukbiejve	álmmukbiejve
álmmukjuogkusij	álmmukjuohkusij
álmmulasjvuohtaj	almulasjvuohtaj
ámmatålmmå	ámmátålmmå
ármodit	ármmodit
árragiessie	árragiesse
ásatit	ásadit
ássjit	ássjijt
ávijsa	avijsa
ávijsan	avijsan
ávijssa	avijssa
ávijssafáladagáv	avijssafálaldagáv
ávvoganjal	ávvoganjál
äddnam	äddnám
åbbås	åbbå
åbbås	åbbå
åda	ådå
åhpadusásáv	åhpadusáv
åhpåv	åhpav
ålggojn	ålgojn
ålggojt	ålgojt
ålggålin	ålggolin
ållugasj	ållagasj
ållugasj	ållagasj
ålosa	oallosa
Årdnik	Årnik
åtsåmav	åhtsåmav
åtsåmavDivtasvuona	åhtsåmav Divtasvuona
åvdasvásstádus	åvdåsvásstádus
åvdddåla	åvddåla
åvddå	åvddål
åvddåliguovlluj	åvddålijguovlluj
åvtasvastadus	åvdåsvásstádus
åvtav	åvtåv
æjgadijda	æjgádijda
æladusájt	æládusájt
ælggaviejddim	ælljaviejddim
ællga	ællja
ællgaviejddimin	ælljaviejddimin
ællitja	ællittja
ælolahka	ælo lahka
æládus-organisasjåvnåjt	æládusorganisasjåvnåjt
æládus-ávijssa	æládusavijssa
äská	ässká
Ökologalasj	Ekologalasj
ökologalasj	ekologalasj
ökonomalasj	ekonomalasj
ökonomija	ekonomija
Ökologalasj	Økologalasj
ökologalasj	økologalasj
ökonomalasj	økonomalasj
ökonomija	økonomija
